origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,220.59,0
Algeria,17,213.85529411764705,0
Angola,1,215.94,0
Argentina,25,177.57080000000002,3
Australia,36,123.7611111111111,9
Austria,157,164.29942675159234,18
Azerbaijan,3,268.71333333333337,0
Bahamas,2,99.535,0
Bahrain,5,169.02,1
Bangladesh,12,175.63166666666666,1
Belarus,1,68.85,0
Belgium,48,170.87145833333332,5
Bolivia,1,249.3,0
Brazil,141,167.78085106382977,6
Brunei Darussalam,1,231.74,0
Bulgaria,34,163.84176470588235,4
Cambodia,1,81.9,0
Canada,467,141.7166381156317,65
Cape Verde,1,216.73,0
Chile,60,180.88266666666667,3
China,139,187.31453237410074,10
Colombia,34,89.33823529411765,4
Costa Rica,8,71.4725,0
Croatia,14,205.93,0
Cyprus,4,113.345,2
Czech Republic,51,144.24470588235295,6
Denmark,37,163.57378378378377,3
Dominican Republic,3,215.08,0
Egypt,50,212.72979999999998,5
Equatorial Guinea,1,244.92,0
Estonia,6,181.87666666666667,1
Ethiopia,11,243.00545454545454,0
Finland,33,185.25848484848484,6
France,235,148.5468085106383,27
Georgia,4,143.17000000000002,2
Germany,364,150.96465564738293,32
Greece,50,147.50367346938776,9
Guatemala,13,53.74461538461538,2
Hungary,73,190.65013698630136,3
Iceland,7,185.04857142857142,0
India,158,167.27601265822784,17
Indonesia,2,123.31,1
Iraq,5,179.98200000000003,0
Ireland,345,194.7116811594203,19
Islamic Republic of Iran,2,221.385,0
Israel,39,204.98589743589744,1
Italy,45,119.08822222222223,2
Japan,36,176.6125,7
Jordan,14,211.12714285714287,0
Kazakhstan,2,120.92,1
Kenya,4,143.73,0
Kingdom of the Netherlands,140,171.24457142857145,15
Kuwait,16,238.9475,0
Latvia,33,143.44939393939393,5
Lebanon,1,0.0,0
Libyan Arab Jamahiriya,2,150.99,0
Lithuania,19,113.45421052631579,7
Luxembourg,30,165.94333333333333,0
Malaysia,26,204.2626923076923,1
Maldives,1,148.88,0
Malta,288,189.72996527777778,22
Mauritius,2,257.375,0
Mexico,134,187.0155223880597,7
Montenegro,1,141.91,0
Morocco,38,204.46473684210525,2
Myanmar,1,215.08,0
New Zealand,10,148.822,2
Norway,68,131.08588235294118,4
Oman,10,215.065,0
Pakistan,5,235.856,0
Panama,33,207.0269696969697,1
Paraguay,1,94.54,0
Peru,1,193.24,0
Philippines,8,219.695,0
Poland,173,156.40583815028901,10
Portugal,72,175.89958333333334,10
Qatar,76,211.7717105263158,7
Republic of Korea,42,181.31047619047618,7
Republic of Moldova,5,239.48600000000002,0
Romania,24,166.34,1
Russian Federation,50,188.0074,0
San Marino,14,228.96,0
Saudi Arabia,41,223.76756097560974,1
Serbia,16,162.3075,2
Singapore,47,213.3310638297872,4
Slovakia,8,134.17125000000001,0
Slovenia,8,129.6175,0
South Africa,20,144.799,2
Spain,234,158.79004273504273,28
Sri Lanka,7,201.49571428571429,0
Sweden,88,148.90829545454545,13
Switzerland,103,142.29689320388349,18
Syrian Arab Republic,1,245.29,0
Taiwan,30,211.89933333333335,2
Thailand,22,203.6631818181818,0
Trinidad and Tobago,3,153.13333333333335,1
Tunisia,9,181.75222222222223,1
Turkey,277,195.9597833935018,19
Turkmenistan,1,254.18,0
Ukraine,4,192.72,0
United Arab Emirates,156,222.8959615384615,2
United Kingdom,561,183.45110516934048,46
United States,7726,134.04513202174476,580
Uzbekistan,5,103.902,1
Viet Nam,6,167.14666666666668,1
Yemen,1,153.8,0
