icao24,origin_country,velocity,on_ground
39de4f,France,225.69,False
ab5cb7,United States,4.89,True
a40bd8,United States,90.6,False
ab1644,United States,141.16,False
e8027c,Chile,231.26,False
801638,India,229.17,False
39de4d,France,226.0,False
39de57,France,243.55,False
a77ec5,United States,194.36,False
39de59,France,215.89,False
ab6fdd,United States,155.5,False
801643,India,224.54,False
a6aeab,United States,125.99,False
3ffc20,Germany,60.67,False
39de51,France,219.42,False
39de50,France,230.03,False
80162f,India,246.95,False
39de54,France,202.69,False
a4d86a,United States,232.96,False
80163d,India,71.62,False
aae310,United States,199.04,False
a2cbd1,United States,82.98,False
a5f849,United States,239.3,False
acdfa5,United States,83.25,False
801657,India,172.44,False
ab031d,United States,50.05,False
a52bd1,United States,196.06,False
aae316,United States,180.18,False
acdfa3,United States,93.12,False
a4c54a,United States,52.24,False
80160a,India,91.4,False
ab1667,United States,241.08,False
a09260,United States,89.93,False
a1befb,United States,31.48,False
a5954e,United States,210.92,False
abacb1,United States,54.03,False
a22236,United States,5.4,True
a41ee4,United States,40.77,False
c034b6,Canada,92.19,False
801623,India,239.45,False
c06a11,Canada,180.46,False
a73879,United States,82.99,False
a4d889,United States,221.84,False
a5d203,United States,251.57,False
ac7cab,United States,77.17,False
a6053c,United States,46.48,False
a1bef7,United States,50.17,False
ad5622,United States,238.59,False
801627,India,240.08,False
801625,India,0.0,True
3ffc19,Germany,43.12,False
acdfab,United States,195.36,False
a2cba6,United States,269.74,False
39de48,France,127.0,False
ad694c,United States,240.44,False
407a06,United Kingdom,232.1,False
a77ed1,United States,22.55,False
ac3656,United States,182.35,False
39de40,France,202.82,False
acdfc2,United States,89.38,False
39de42,France,223.01,False
407a01,United Kingdom,133.68,False
39de44,France,233.79,False
80166c,India,117.94,False
44028c,Austria,149.51,False
44028a,Austria,2.31,True
a2228b,United States,229.62,False
e8023a,Chile,5.14,True
511188,Estonia,231.5,False
470bec,Hungary,47.38,False
470bea,Hungary,61.18,False
4acb01,Sweden,200.21,False
a47599,United States,57.03,False
4acb04,Sweden,169.02,False
ad564b,United States,177.4,False
a47597,United States,104.33,False
51116f,Estonia,232.91,False
488242,Poland,36.84,False
4bc8c6,Turkey,212.96,False
4bc8c7,Turkey,75.3,False
abacba,United States,151.5,False
